Sample	Samtools Flagstat_mqc-generalstats-mapped_passed	Picard_mqc-generalstats-PERCENT_DUPLICATION	Bowtie 2_mqc-generalstats-overall_alignment_rate	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_gc
20180731-7-Gastroc-001-powder_S7_merge_R1				18.1818181818	74.6160300702	10.384625407	27326468.0	47.0
20180731-7-Gastroc-001-powder_S7_merge_R2				18.1818181818	74.5856799349	10.2459385581	27326468.0	46.0
20180731-8-Liver-001-powder_S8_L001_R1_001.trim	103031488	0.190942	98.68					
20180731-8-Liver-001-powder_S8_merge_R1				18.1818181818	74.668979381	21.0242014417	31274218.0	49.0
20180731-8-Liver-001-powder_S8_merge_R2				18.1818181818	74.6020623122	20.7160009077	31274218.0	48.0
20180815-10-Heart-002-powder_S10_L001_R1_001.trim	146552291	0.351927	98.98					
20180815-10-Heart-002-powder_S10_merge_R1				18.1818181818	74.619463686	34.6058355925	36324168.0	44.0
20180815-10-Heart-002-powder_S10_merge_R2				18.1818181818	74.5925046102	34.2292455944	36324168.0	44.0
20180815-11-Lung-002-piece_S11_L001_R1_001.trim	95830439	0.089662	98.9					
20180815-11-Lung-002-piece_S11_merge_R1				18.1818181818	74.6093073968	14.0151239315	26214548.0	48.0
20180815-12-Lung-002-powder_S12_L001_R1_001.trim	101693601	0.0855	98.82					
20180815-13-Adipose-002-piece_S13_L001_R1_001.trim	171889596	0.044284	98.96					
20180815-14-Adipose-002-powder_S14_L001_R1_001.trim	128863405	0.047918	99.06					
20180815-9-Heart-002-piece_S9_L001_R1_001.trim	101575714	0.375182	57.69					
merge_fastqs_R1_20180404-3-muscle-1-5_S16_L001_R1_001.trim			98.97					
merge_fastqs_R1_20180720-5-muscle-frozen_S15_L001_R1_001.trim			98.64					
merge_fastqs_R1_20180725-1-Gastroc-002-piece_S1_L001_R1_001.trim			93.42					
merge_fastqs_R1_20180725-2-Gastroc-002-powder_S2_L001_R1_001.trim			98.88					
merge_fastqs_R1_20180725-3-Gastroc-002-powder_S3_L001_R1_001.trim			95.67					
merge_fastqs_R1_20180725-4-Liver-002-piece_S4_L001_R1_001.trim			98.79					
merge_fastqs_R1_20180725-5-Liver-002-powder_S5_L001_R1_001.trim			98.9					
merge_fastqs_R1_20180725-6-Liver-002-powder_S6_L001_R1_001.trim			98.78					
merge_fastqs_R1_20180731-7-Gastroc-001-powder_S7_L001_R1_001.trim			98.45					
merge_fastqs_R1_20180731-8-Liver-001-powder_S8_L001_R1_001.trim			98.68					
merge_fastqs_R1_20180815-10-Heart-002-powder_S10_L001_R1_001.trim			98.98					
merge_fastqs_R1_20180815-11-Lung-002-piece_S11_L001_R1_001.trim			98.9					
merge_fastqs_R1_20180815-12-Lung-002-powder_S12_L001_R1_001.trim			98.82					
merge_fastqs_R1_20180815-13-Adipose-002-piece_S13_L001_R1_001.trim			98.96					
merge_fastqs_R1_20180815-14-Adipose-002-powder_S14_L001_R1_001.trim			99.06					
merge_fastqs_R1_20180815-9-Heart-002-piece_S9_L001_R1_001.trim			57.69					
